"film_id","title","rating","film_category","rental_cost","avg_rental_cost_by_rating_and_category","rental_cost_compared_to_avg"
318,"Firehouse Vietnam","G","Action","0.99","2.77","-1.78"
417,"Hills Neighbors","G","Action","0.99","2.77","-1.78"
915,"Truman Crazy","G","Action","4.99","2.77","2.22"
292,"Excitement Eve","G","Action","0.99","2.77","-1.78"
126,"Casualties Encino","G","Action","4.99","2.77","2.22"
371,"Gosford Donnie","G","Action","4.99","2.77","2.22"
968,"Werewolf Lola","G","Action","4.99","2.77","2.22"
360,"Glass Dying","G","Action","0.99","2.77","-1.78"
542,"Lust Lock","G","Action","2.99","2.77","0.22"
964,"Waterfront Deliverance","G","Action","4.99","2.77","2.22"
56,"Barefoot Manchurian","G","Action","2.99","2.77","0.22"
732,"Rings Heartbreakers","G","Action","0.99","2.77","-1.78"
271,"Easy Gladiator","G","Action","4.99","2.77","2.22"
97,"Bride Intrigue","G","Action","0.99","2.77","-1.78"
212,"Darn Forrester","G","Action","4.99","2.77","2.22"
794,"Side Ark","G","Action","0.99","2.77","-1.78"
574,"Midnight Westward","G","Action","0.99","2.77","-1.78"
697,"Primary Glass","G","Action","0.99","2.77","-1.78"
154,"Clash Freddy","G","Animation","2.99","2.68","0.31"
510,"Lawless Vision","G","Animation","4.99","2.68","2.31"
805,"Sleepless Monsoon","G","Animation","4.99","2.68","2.31"
239,"Dogma Family","G","Animation","4.99","2.68","2.31"
569,"Menagerie Rushmore","G","Animation","2.99","2.68","0.31"
430,"Hook Chariots","G","Animation","0.99","2.68","-1.69"
916,"Turn Star","G","Animation","2.99","2.68","0.31"
901,"Tracy Cider","G","Animation","0.99","2.68","-1.69"
402,"Harper Dying","G","Animation","0.99","2.68","-1.69"
193,"Crossroads Casualties","G","Animation","2.99","2.68","0.31"
692,"Potluck Mixed","G","Animation","2.99","2.68","0.31"
89,"Borrowers Bedazzled","G","Animation","0.99","2.68","-1.69"
816,"Snowman Rollercoaster","G","Animation","0.99","2.68","-1.69"
409,"Heartbreakers Bright","G","Children","4.99","3.19","1.80"
238,"Doctor Grail","G","Children","2.99","3.19","-0.20"
873,"Sweethearts Suspects","G","Children","0.99","3.19","-2.20"
626,"Noon Papi","G","Children","2.99","3.19","-0.20"
280,"Empire Malkovich","G","Children","0.99","3.19","-2.20"
959,"Warlock Werewolf","G","Children","2.99","3.19","-0.20"
304,"Fargo Gandhi","G","Children","2.99","3.19","-0.20"
354,"Ghost Groundhog","G","Children","4.99","3.19","1.80"
853,"Stranger Strangers","G","Children","4.99","3.19","1.80"
373,"Graduate Lord","G","Children","2.99","3.19","-0.20"
554,"Malkovich Pet","G","Classics","2.99","2.08","0.91"
828,"Spiking Element","G","Classics","2.99","2.08","0.91"
297,"Extraordinary Conquerer","G","Classics","2.99","2.08","0.91"
249,"Dracula Crystal","G","Classics","0.99","2.08","-1.09"
891,"Timberland Sky","G","Classics","0.99","2.08","-1.09"
