"day_of_month","revenue","dense_rank","ntile"
"1","2808.24","3",1
"2","2550.05","11",2
"5","273.36","24",4
"6","2077.14","15",3
"7","1984.28","17",3
"8","2227.84","14",3
"9","2067.86","16",3
"10","1973.18","18",3
"11","1940.32","19",4
"12","1930.48","20",4
"14","514.18","21",4
"16","299.28","23",4
"17","2442.16","12",2
"18","2701.76","5",1
"19","2617.69","9",2
"20","2669.89","7",2
"21","2868.27","2",1
"22","2586.79","10",2
"23","2342.43","13",3
"26","347.21","22",4
"27","2673.57","6",1
"28","2622.73","8",2
"29","2717.60","4",1
"30","5723.89","1",1
